year_film,year_ceremony,ceremony,category,name,film,winner,film_awards,gender,race,country,continent
2002,2003,75,Costume Design,Julie Weiss,Frida,False,"{'nomsBaftas': 3, 'nomsGoldenGlobes': 1, 'nomsOscars': 4, 'winsBaftas': 1, 'winsGoldenGlobes': 1, 'winsOscars': 2}",Female,White,,
2002,2003,75,Costume Design,Sandy Powell,Gangs of New York,False,"{'nomsBaftas': 11, 'nomsGoldenGlobes': 3, 'nomsOscars': 10, 'winsBaftas': 1, 'winsGoldenGlobes': 2, 'winsOscars': 0}",Female,White,,
2002,2003,75,Costume Design,Ann Roth,The Hours,False,"{'nomsBaftas': 9, 'nomsGoldenGlobes': 5, 'nomsOscars': 8, 'winsBaftas': 2, 'winsGoldenGlobes': 2, 'winsOscars': 1}",Female,White,,
2002,2003,75,Costume Design,Anna Sheppard,The Pianist,False,"{'nomsBaftas': 5, 'nomsGoldenGlobes': 2, 'nomsOscars': 4, 'winsBaftas': 2, 'winsGoldenGlobes': 0, 'winsOscars': 3}",Female,White,,
2002,2003,75,Directing,Rob Marshall,Chicago,False,"{'nomsBaftas': 10, 'nomsGoldenGlobes': 5, 'nomsOscars': 7, 'winsBaftas': 2, 'winsGoldenGlobes': 3, 'winsOscars': 6}",Male,White,,
2002,2003,75,Directing,Martin Scorsese,Gangs of New York,False,"{'nomsBaftas': 11, 'nomsGoldenGlobes': 3, 'nomsOscars': 10, 'winsBaftas': 1, 'winsGoldenGlobes': 2, 'winsOscars': 0}",Male,White,,
2002,2003,75,Directing,Stephen Daldry,The Hours,False,"{'nomsBaftas': 9, 'nomsGoldenGlobes': 5, 'nomsOscars': 8, 'winsBaftas': 2, 'winsGoldenGlobes': 2, 'winsOscars': 1}",Male,White,,
2002,2003,75,Directing,Roman Polanski,The Pianist,True,"{'nomsBaftas': 5, 'nomsGoldenGlobes': 2, 'nomsOscars': 4, 'winsBaftas': 2, 'winsGoldenGlobes': 0, 'winsOscars': 3}",Male,White,,
2002,2003,75,Directing,Pedro Almodóvar,Talk to Her,False,"{'nomsBaftas': 0, 'nomsGoldenGlobes': 0, 'nomsOscars': 1, 'winsBaftas': 2, 'winsGoldenGlobes': 1, 'winsOscars': 1}",Male,White,,
2002,2003,75,International Feature Film,Carlos Carrera,El Crimen del Padre Amaro,False,"{'nomsBaftas': 0, 'nomsGoldenGlobes': 1, 'nomsOscars': 1, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 0}",Male,Hispanic,Mexico,North America
2002,2003,75,International Feature Film,Zhang Yimou,Hero,False,"{'nomsBaftas': 0, 'nomsGoldenGlobes': 1, 'nomsOscars': 1, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 0}",Male,Asian,People's Republic of China,Asia
2002,2003,75,International Feature Film,Aki Kaurismäki,The Man without a Past,False,"{'nomsBaftas': 0, 'nomsGoldenGlobes': 0, 'nomsOscars': 1, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 0}",Male,White,Finland,Europe
2002,2003,75,International Feature Film,Caroline Link,Nowhere in Africa,True,"{'nomsBaftas': 0, 'nomsGoldenGlobes': 1, 'nomsOscars': 0, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 1}",Female,White,Germany,Europe
2002,2003,75,International Feature Film,Paula van der Oest,Zus & Zo,False,"{'nomsBaftas': 0, 'nomsGoldenGlobes': 0, 'nomsOscars': 1, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 0}",Female,White,The Netherlands,Europe
2002,2003,75,Makeup and Hairstyling,"Beatrice De Alba, John Jackson",Frida,True,"{'nomsBaftas': 3, 'nomsGoldenGlobes': 1, 'nomsOscars': 4, 'winsBaftas': 1, 'winsGoldenGlobes': 1, 'winsOscars': 2}",F - M,White,,
2002,2003,75,Makeup and Hairstyling,"Barbara Lorenz, John M. Elliott, Jr.",The Time Machine,False,"{'nomsBaftas': 0, 'nomsGoldenGlobes': 0, 'nomsOscars': 1, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 0}",F - M,White,,
2002,2003,75,Music (Original Score),John Williams,Catch Me If You Can,False,"{'nomsBaftas': 3, 'nomsGoldenGlobes': 1, 'nomsOscars': 2, 'winsBaftas': 1, 'winsGoldenGlobes': 0, 'winsOscars': 0}",Male,White,,
2002,2003,75,Music (Original Score),Elmer Bernstein,Far from Heaven,False,"{'nomsBaftas': 0, 'nomsGoldenGlobes': 4, 'nomsOscars': 4, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 0}",Male,White,,
2002,2003,75,Music (Original Score),Elliot Goldenthal,Frida,True,"{'nomsBaftas': 3, 'nomsGoldenGlobes': 1, 'nomsOscars': 4, 'winsBaftas': 1, 'winsGoldenGlobes': 1, 'winsOscars': 2}",Male,White,,
2002,2003,75,Music (Original Score),Philip Glass,The Hours,False,"{'nomsBaftas': 9, 'nomsGoldenGlobes': 5, 'nomsOscars': 8, 'winsBaftas': 2, 'winsGoldenGlobes': 2, 'winsOscars': 1}",Male,White,,
2002,2003,75,Music (Original Score),Thomas Newman,Road to Perdition,False,"{'nomsBaftas': 1, 'nomsGoldenGlobes': 1, 'nomsOscars': 5, 'winsBaftas': 2, 'winsGoldenGlobes': 0, 'winsOscars': 1}",Male,White,,
2002,2003,75,Writing (Adapted Screenplay),"Chris Weitz, Paul Weitz, Peter Hedges",About a Boy,False,"{'nomsBaftas': 2, 'nomsGoldenGlobes': 2, 'nomsOscars': 1, 'winsBaftas': 0, 'winsGoldenGlobes': 0, 'winsOscars': 0}",Male,White,,
2002,2003,75,Writing (Adapted Screenplay),"Charlie Kaufman, Donald Kaufman",Adaptation,False,"{'nomsBaftas': 3, 'nomsGoldenGlobes': 4, 'nomsOscars': 3, 'winsBaftas': 1, 'winsGoldenGlobes': 2, 'winsOscars': 1}",Male,White,,
