title,ID
Beaufort,0758732
Black Sheep,7440094
Mandela: Long Walk to Freedom,2304771
The White Helmets,6073176
Ajami,1077262
Lars and the Real Girl,0805564
Hardwood,0443531
True Grit,1403865
Ala Kachuu - Take and Run,7914938
Wonder,2543472
Star Wars Episode II Attack of the Clones,0121765
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,13143964
Licorice Pizza,11271038
Three Songs for Benazir,14608922
Mr. Turner,2473794
House of Gucci,11214590
Day One,6168298
Lilo & Stitch,0275847
"I, Robot",0343818
Turning Red,8097030
Black Panther: Wakanda Forever,9114286
I Am Not Your Negro,5804038
Silent Nights,6460636
Brotherhood,8905964
A Man Called Ove,4080728
Richard Jewell,3513548
A Beautiful Day in the Neighborhood,3224458
Over the Moon,7488208
Roma,6155172
Tuba Atlantic,2061843
Amélie,0211915
World of Tomorrow,4171032
Encounters at the End of the World,1093824
The ChubbChubbs!,0331218
The Prestige,0482571
Inja (Dog),0258816
For the Birds,0248808
Vicky Cristina Barcelona,0497465
BlacKkKlansman,7349662
Kung Fu Panda 2,1302011
The Ballad of Buster Scruggs,6412452
Waste Land,1268204
Animal Behaviour,8615478
Mulan,4566758
Spielzeugland (Toyland),1280548
4.1 Miles,6279726
Isle of Dogs,5104604
Apocalypto,0472043
The Hurt Locker,0887912
Strange Invaders,0296874
Poseidon,0409182
Love and Monsters,2222042
Gravity,1454468
Period. End of Sentence.,6939026
Spencer,12536294
The Life Ahead (La Vita Davanti a Se),10627584
Never Look Away,5311542
The White Ribbon,1149362
The Imaginarium of Doctor Parnassus,1054606
Marshall,5301662
12,0488478
The Whale,13833688
The Phantom of the Opera,0293508
Finding Vivian Maier,2714900
The Revenant,1663202
Causeway,10192406
Embrace of the Serpent,4285496
Fire of Love,16227014
Border,5501104
The Lobster,3464902
One Man Band,0479113
The Trial of the Chicago 7,1070874
Trolls,1679335
Beyond the Lights,3125324
The Sea Beast,9288046
Nightcrawler,2872718
The Artist,1655442
Hero,0299977
Navalny,17041964
Six Shooter,0425458
Hair Love,7129636
Little Miss Sunshine,0449059
Nocturnal Animals,4550098
Capote,0379725
Philomena,2431286
Feast,3689498
Argo,1024648
Star Wars: The Rise of Skywalker,2527338
Hotel Rwanda,0395169
The Class,1068646
The Royal Tenenbaums,0265666
The Death of Kevin Carter: Casualty of the Bang Bang Club,0439676
Spider-Man: Into the Spider-Verse,4633694
Eastern Promises,0765443
Sound of Metal,5363618
Alice in Wonderland,1014759
The Barbarian Invasions,0338135
Up,1049413
Mrs. Henderson Presents,0413015
The Lost Thing,1669698
Maleficent: Mistress of Evil,4777008
A Sister,8767544
Marcel the Shell with Shoes On,15339456
Mongol,0416044
21 Grams,0315733
Doubt,0918927
Bridesmaids,1478338
Departures,1069238
Garden Party,6426140
Nomadland,9770150
Real Steel,0433035
The Broken Circle Breakdown,2024519
Nowhere in Africa,0161860
Ennemis Intérieurs,5467670
Why Can't We Be a Family Again?,0344563
The Good Shepherd,0343737
Talk to Her,0287467
I Am Love,1226236
"I, Tonya",5580036
Rogue One: A Star Wars Story,6323140
Avengers: Infinity War,4154756
Skyfall,1074638
Collateral,0369339
"Hail, Caesar!",0475290
Auf der Strecke (On the Line),1219675
"What Happened, Miss Simone?",4284010
Marvel's The Avengers,0848228
Maestro,0417299
The Theory of Everything,2980516
A Mighty Wind,0310281
Spirit: Stallion of the Cimarron,0166813
Missing Link,6348138
The Tonto Woman,1176466
Frida,0120679
Encanto,2953050
Avatar: The Way of Water,1630029
Promising Young Woman,9620292
Prometheus,1446714
White Earth,3044564
The Danish Poet,0933357
Darwin's Nightmare,0424024
Surf's Up,0423294
El Crimen del Padre Amaro,0313196
Lorenzo,0412936
